"village","M_i","plc","lb"
1,0.839250591914834,1.02178426260116,0.381880863330404
2,0.778409721330473,1.24254247576819,0.517933520687885
3,0.807275560225985,1.25345431901966,0.476972154289388
4,0.746944098984915,0.98559023469847,0.330027106902774
5,0.68787752599773,0.537649805810706,0.308524064800854
6,0.778978656532205,0.914202980499898,0.385477832781663
7,0.741607513735814,0.498294511152037,0.303446999340317
8,0.75319630361644,0.733542761940536,0.349437400263454
9,0.864319697106133,0.870878228033254,0.374549627842353
10,0.618590726264746,1.49056937841074,0.625244369901197
11,0.823839124708486,0.733127110833855,0.288015243938703
12,0.738022266483643,1.49208991890474,0.57566445221224
13,0.621574542778669,1.78626274273896,0.681705301633581
14,0.748423713821694,1.06075301201201,0.381903226536018
15,0.94199796663032,0.115257567143941,0.26084788198582
16,0.652346681518682,1.44731257940408,0.456646224962328
17,0.849377413127413,0.164446824574988,0.23929167290914
18,0.771228625175994,0.756998682823643,0.274133584845727
19,0.898168645327736,0.459228185832636,0.256596772054193
20,0.680790110095666,1.07258775413581,0.431067286660689
21,0.70991781112986,0.989191747328699,0.388983534896964
22,0.819650347680267,0.596238245829485,0.30715233570332
23,0.64396436461756,1.25651185282931,0.46354468668613
24,0.772830574721904,0.887917619256277,0.284913883397345
25,0.799557160589402,0.709536803280914,0.23178371717117
26,0.741166743698097,1.15786340156204,0.487704392376456
28,0.571100009942487,1.10930078806884,0.504442550982301
29,0.589527734732199,1.88832600602342,0.601426707550157
30,0.738860308242728,0.712119249685119,0.292279528611202
31,0.56235131738484,1.42802340685596,0.506123940798028
32,0.721870496756691,1.23522688459456,0.459921590140298
33,0.650563316092618,0.87856900864667,0.39200111197664
34,0.705782921565732,0.690520306309016,0.284775216470866
35,0.791968746279771,1.2635711143579,0.420966628031663
36,0.581384992776732,1.87524240349533,0.747218913648284
37,0.668596484033622,1.44024889400715,0.61798234503003
38,0.701356007682467,1.45731167096242,0.580363163812333
39,0.662999012365366,1.7478608821804,0.707499555351445
41,0.49671265171897,1.35383856830413,0.6422687961253
42,0.811828817963504,0.602032809251921,0.235518043832002
43,0.778993589262093,0.874150221169571,0.271108796362229
44,0.766964728547143,1.03087040388252,0.439407324561858
45,0.578429819136254,2.69502665132949,0.874826437505585
46,0.762014733003927,0.973967940509146,0.414604288494794
47,0.748372797881773,0.777450489966475,0.284166047505257
48,0.794874768089054,0.509758588549811,0.258282002330452
49,0.736279256213263,1.45572062101288,0.503168410957657
50,0.658530837655693,0.792328744823253,0.344968176904631
51,0.790465510366826,0.984752604035443,0.411710676008487
52,0.738748211635223,1.03760060812743,0.376954475438966
53,0.874219631953678,0.923316195153249,0.341612709527375
54,0.712701122862606,0.852583630937852,0.334950742163706
55,0.888439485804682,0.536964503521876,0.26431802412047
56,0.704141673396459,1.18936087100148,0.430619237444026
57,0.854822482090181,0.00917098159441346,0.19127696163192
58,0.83830156314274,0.89917553586203,0.38242080829375
59,0.811844727864408,0.658123855685148,0.264058768162978
60,0.823886725608694,0.620134413689597,0.273299392916219
61,0.66626537307758,1.46986897622607,0.524895558509771
62,0.694447776508997,1.05294882782554,0.432049757228628
63,0.783661353868035,0.946544207720227,0.409049761056981
64,0.675101181578091,1.07607720795718,0.445159421831016
65,0.811412933740236,0.111431673771252,0.22297094847265
66,0.588853829142792,1.66034146093834,0.615213220664006
67,0.757078985975347,0.785207230860902,0.338692085214636
68,0.806823988301261,0.351268164042675,0.231328933549709
69,0.85191116458598,0.740087335292143,0.328068324344664
70,0.810256149130391,0.940859743431099,0.381175855559843
71,0.838087153231384,0.404483121629086,0.217897691197426
